90,-249
95,-249
95,-249
98,-253
95,-257
90,-257
88,-253
88,-253
90,-249
95,-249
98,-253
95,-257
90,-257
88,-253
90,-249
95,-249
98,-253
95,-257
90,-257
88,-253
90,-249
95,-249
98,-253
95,-257
90,-257
88,-253
90,-249
95,-249
98,-253
95,-257
90,-257
88,-253
90,-249
95,-249
98,-253
95,-257
90,-257
88,-253
88,-253
28,-108
33,-108
35,-113
33,-117
28,-117
25,-113
28,-108
33,-108
35,-113
33,-117
28,-117
25,-113
28,-108
33,-108
35,-113
33,-117
28,-117
25,-113
28,-108
33,-108
35,-113
33,-117
28,-117
25,-113
28,-108
33,-108
35,-113
33,-117
28,-117
25,-113
28,-108
33,-108
35,-113
33,-117
28,-117
25,-113
-61,-85
-59,-89
-61,-93
-66,-93
-69,-89
-66,-85
-61,-85
-59,-89
-61,-93
-66,-93
-69,-89
-66,-85
-61,-85
-59,-89
-61,-93
-66,-93
-69,-89
-66,-85
-61,-85
-59,-89
-61,-93
-66,-93
-69,-89
-66,-85
-61,-85
-59,-89
-61,-93
-66,-93
-69,-89
-66,-85
-61,-85
-59,-89
-61,-93
-66,-93
-69,-89
-66,-85
-30,-108
-27,-113
-30,-117
-35,-117
-37,-113
-35,-108
-30,-108
-27,-113
-30,-117
-35,-117
-37,-113
-35,-108
-30,-108
-27,-113
-30,-117
-35,-117
-37,-113
-35,-108
-30,-108
-27,-113
-30,-117
-35,-117
-37,-113
-35,-108
-30,-108
-27,-113
-30,-117
-35,-117
-37,-113
-35,-108
-30,-108
-27,-113
-30,-117
-35,-117
-37,-113
-35,-108
4,-69
9,-69
12,-73
9,-78
4,-78
2,-73
4,-69
9,-69
12,-73
9,-78
4,-78
2,-73
4,-69
9,-69
12,-73
9,-78
4,-78
2,-73
4,-69
9,-69
12,-73
9,-78
4,-78
2,-73
4,-69
9,-69
12,-73
9,-78
4,-78
2,-73
4,-69
9,-69
12,-73
9,-78
4,-78
2,-73
-61,-225
-59,-230
-61,-234
-66,-234
-69,-230
-66,-225
-61,-225
-59,-230
-61,-234
-66,-234
-69,-230
-66,-225
-61,-225
-59,-230
-61,-234
-66,-234
-69,-230
-66,-225
-61,-225
-59,-230
-61,-234
-66,-234
-69,-230
-66,-225
-61,-225
-59,-230
-61,-234
-66,-234
-69,-230
-66,-225
-61,-225
-59,-230
-61,-234
-66,-234
-69,-230
-66,-225
-66,-225
